,wage,educ,exper,metro
0,2.07,12,7,1
1,2.12,12,35,1
2,2.54,16,20,1
3,2.68,12,24,1
4,3.09,13,4,1
5,3.16,13,1,0
6,3.2,12,23,1
7,3.27,12,4,1
8,3.32,12,11,1
9,3.32,13,3,1
10,3.34,18,15,1
11,3.39,13,7,1
12,3.39,12,15,0
13,3.39,12,32,0
14,3.42,12,31,1
15,3.47,13,28,1
16,3.49,11,5,1
17,3.5,12,38,1
18,3.5,9,3,1
19,3.5,11,7,1
20,3.5,12,5,1
21,3.5,12,2,1
22,3.5,12,18,1
23,3.53,11,42,1
24,3.54,13,4,1
25,3.57,12,0,1
26,3.59,9,29,1
27,3.68,6,19,1
28,3.68,9,39,1
29,3.68,13,0,1
30,3.68,11,2,1
31,3.68,12,5,0
32,3.68,6,7,1
33,3.68,9,23,1
34,3.68,9,28,0
35,3.68,11,9,0
36,3.68,12,5,1
37,3.68,10,2,1
38,3.68,12,5,1
39,3.68,12,7,0
40,3.68,13,6,1
41,3.68,12,1,1
42,3.68,4,50,1
43,3.68,9,35,1
44,3.68,12,19,1
45,3.68,12,40,1
46,3.68,12,25,1
47,3.68,13,4,1
48,3.71,12,15,0
49,3.76,13,18,0
50,3.79,6,37,1
51,3.79,12,0,1
52,3.79,16,2,1
53,3.81,13,11,1
54,3.81,12,23,1
55,3.82,12,33,1
56,3.86,13,3,0
57,3.87,13,41,1
58,3.87,12,7,1
59,3.87,12,35,0
60,3.87,16,35,1
61,3.89,10,34,1
62,3.93,12,2,0
63,3.98,12,22,0
64,3.99,18,17,1
65,4.03,10,45,1
66,4.03,13,24,0
67,4.04,13,7,0
68,4.04,12,3,1
69,4.04,11,1,1
70,4.05,16,12,1
71,4.05,8,8,1
72,4.05,12,11,1
73,4.05,12,13,1
74,4.05,12,5,1
75,4.05,12,12,0
76,4.14,12,0,1
77,4.14,13,2,1
78,4.2,13,30,1
79,4.21,8,20,1
80,4.24,12,7,0
81,4.24,13,35,1
82,4.29,13,1,0
83,4.34,12,11,1
84,4.35,11,32,1
85,4.35,12,17,1
86,4.37,8,13,0
87,4.38,12,31,1
88,4.38,9,18,1
89,4.42,4,18,1
90,4.42,12,16,1
91,4.42,1,27,1
92,4.42,13,1,0
93,4.42,12,1,1
94,4.42,13,11,1
95,4.42,13,0,1
96,4.42,13,1,1
97,4.42,12,0,1
98,4.42,12,13,0
99,4.42,9,17,1
100,4.42,12,8,0
101,4.42,13,2,1
102,4.42,12,6,0
103,4.42,13,16,1
104,4.42,12,41,0
105,4.42,12,19,1
106,4.42,13,22,1
107,4.42,13,2,1
108,4.42,13,5,1
109,4.42,12,14,0
110,4.42,13,13,1
111,4.42,12,34,1
112,4.42,13,1,1
113,4.42,12,23,1
114,4.42,10,38,1
115,4.42,9,13,1
116,4.42,8,9,1
117,4.42,12,1,0
118,4.42,9,28,0
119,4.42,12,18,1
120,4.45,13,2,1
121,4.45,10,7,1
122,4.47,12,16,0
123,4.51,14,15,1
124,4.52,12,3,0
125,4.53,12,41,1
126,4.58,12,0,0
127,4.59,12,25,0
128,4.59,12,22,0
129,4.6,16,14,1
130,4.6,12,5,1
131,4.6,16,10,0
132,4.6,12,9,1
133,4.6,12,14,0
134,4.6,13,6,1
135,4.6,12,12,1
136,4.6,16,26,1
137,4.6,12,17,1
138,4.6,14,22,1
139,4.6,16,7,1
140,4.6,12,16,0
141,4.6,12,35,1
142,4.63,12,18,1
143,4.66,12,28,0
144,4.66,13,19,0
145,4.72,12,21,0
146,4.72,12,17,1
147,4.72,12,33,0
148,4.72,14,15,1
149,4.72,12,1,1
150,4.72,12,7,1
151,4.72,11,46,0
152,4.77,16,20,1
153,4.78,12,11,1
154,4.79,12,39,0
155,4.79,12,15,1
156,4.79,12,30,1
157,4.79,12,17,1
158,4.79,12,5,0
159,4.79,16,2,0
160,4.79,16,1,0
161,4.79,12,2,1
162,4.79,11,21,1
163,4.79,12,12,1
164,4.79,4,20,1
165,4.79,13,37,1
166,4.79,12,22,1
167,4.79,14,23,1
168,4.79,14,23,1
169,4.79,13,25,1
170,4.79,16,13,1
171,4.79,13,9,1
172,4.79,12,21,1
173,4.79,12,0,0
174,4.79,12,2,1
175,4.79,13,2,1
176,4.79,10,35,1
177,4.79,8,40,0
178,4.79,14,7,1
179,4.81,13,5,1
180,4.83,12,24,0
181,4.83,16,28,1
182,4.84,13,8,1
183,4.84,12,15,1
184,4.84,11,19,1
185,4.86,12,0,1
186,4.86,12,3,1
187,4.89,12,9,1
188,4.89,9,35,1
189,4.91,12,20,1
190,4.91,13,22,1
191,4.91,12,23,1
192,4.91,6,27,1
193,4.93,12,26,1
194,4.93,12,44,1
195,4.95,16,22,1
196,4.95,13,35,0
197,4.95,12,43,1
198,4.96,6,35,1
199,4.97,12,1,1
200,4.97,12,41,1
201,5.07,12,9,1
202,5.08,16,14,1
203,5.08,14,22,0
204,5.16,12,24,0
205,5.16,12,11,1
206,5.16,11,8,1
207,5.16,11,42,1
208,5.16,12,35,1
209,5.16,10,13,1
210,5.16,6,25,1
211,5.16,12,11,1
212,5.16,4,29,1
213,5.16,13,4,1
214,5.16,12,18,1
215,5.16,6,32,0
216,5.16,13,0,1
217,5.16,16,4,1
218,5.16,8,16,1
219,5.16,12,0,0
220,5.16,12,22,1
221,5.16,13,16,0
222,5.16,12,5,1
223,5.16,11,1,1
224,5.16,16,0,1
225,5.16,13,1,1
226,5.16,12,5,1
227,5.25,12,17,1
228,5.25,12,16,1
229,5.3,9,43,1
230,5.3,12,38,1
231,5.3,12,2,0
232,5.32,12,19,1
233,5.34,12,5,0
234,5.34,12,24,0
235,5.35,16,10,1
236,5.36,13,25,1
237,5.38,12,20,1
238,5.49,16,32,1
239,5.49,12,12,0
240,5.53,12,3,1
241,5.53,12,9,1
242,5.53,13,27,1
243,5.53,13,21,0
244,5.53,12,37,1
245,5.53,12,6,0
246,5.53,12,8,1
247,5.53,12,18,1
248,5.53,12,21,0
249,5.53,12,10,1
250,5.53,12,13,1
251,5.53,12,0,1
252,5.53,13,36,1
253,5.53,12,13,1
254,5.53,13,9,0
255,5.53,13,16,1
256,5.53,10,7,1
257,5.53,12,38,0
258,5.53,12,19,1
259,5.54,12,19,0
260,5.63,13,13,0
261,5.64,12,5,1
262,5.65,12,45,1
263,5.65,11,20,1
264,5.66,13,37,1
265,5.67,16,30,1
266,5.67,13,8,1
267,5.71,11,8,1
268,5.73,18,17,1
269,5.73,12,15,0
270,5.74,13,1,1
271,5.75,12,18,1
272,5.78,12,21,0
273,5.81,16,19,0
274,5.83,12,7,1
275,5.87,13,24,1
276,5.89,13,11,1
277,5.89,16,2,1
278,5.89,12,32,1
279,5.89,13,4,1
280,5.89,16,21,1
281,5.89,14,3,1
282,5.89,12,32,1
283,5.89,12,21,1
284,5.89,12,20,1
285,5.89,12,16,1
286,5.89,13,11,0
287,5.89,10,16,0
288,5.89,12,18,1
289,5.89,12,7,1
290,5.89,14,16,0
291,5.89,12,13,1
292,5.89,13,3,1
293,5.89,16,3,1
294,5.93,12,12,0
295,5.93,12,21,0
296,5.95,16,4,1
297,5.95,13,23,1
298,5.99,10,34,0
299,5.99,11,31,1
300,6.0,12,17,1
301,6.0,4,24,1
302,6.02,16,2,1
303,6.07,13,9,1
304,6.11,12,11,1
305,6.11,12,24,1
306,6.14,10,19,1
307,6.14,12,8,1
308,6.17,13,2,1
309,6.17,12,9,1
310,6.19,12,39,1
311,6.19,14,5,1
312,6.22,13,18,1
313,6.23,16,3,1
314,6.26,14,13,1
315,6.26,12,6,1
316,6.26,12,2,1
317,6.26,9,11,0
318,6.26,13,6,1
319,6.26,16,36,1
320,6.3,13,5,1
321,6.32,12,20,1
322,6.37,12,25,0
323,6.37,12,32,1
324,6.42,14,6,1
325,6.43,13,26,1
326,6.45,12,10,0
327,6.45,16,7,1
328,6.45,9,15,1
329,6.45,12,4,0
330,6.48,12,1,1
331,6.54,13,8,1
332,6.63,16,31,1
333,6.63,13,6,1
334,6.63,12,27,1
335,6.63,12,18,1
336,6.63,8,30,0
337,6.63,12,22,1
338,6.63,12,34,1
339,6.63,14,21,1
340,6.63,13,8,0
341,6.67,12,46,0
342,6.68,13,15,1
343,6.7,12,4,1
344,6.7,14,8,1
345,6.7,13,1,1
346,6.71,12,31,1
347,6.72,11,34,1
348,6.72,12,15,1
349,6.72,11,12,0
350,6.73,12,46,1
351,6.79,13,36,1
352,6.8,12,21,1
353,6.81,12,20,1
354,6.83,12,7,1
355,6.87,13,36,0
356,6.88,12,7,0
357,6.89,12,19,1
358,6.89,12,4,1
359,6.91,12,25,1
360,6.91,13,13,1
361,6.99,12,14,0
362,7.0,12,42,1
363,7.0,12,4,1
364,7.02,14,21,0
365,7.06,14,15,1
366,7.07,16,31,0
367,7.07,16,1,1
368,7.07,13,2,1
369,7.07,12,40,1
370,7.07,13,20,1
371,7.07,13,29,1
372,7.07,18,20,1
373,7.07,13,25,1
374,7.07,13,40,1
375,7.11,8,36,0
376,7.11,16,23,1
377,7.15,13,10,1
378,7.15,12,29,1
379,7.16,13,23,1
380,7.17,12,35,1
381,7.18,12,21,1
382,7.21,12,14,1
383,7.24,12,12,0
384,7.26,12,28,1
385,7.26,12,3,1
386,7.27,16,3,1
387,7.28,10,23,0
388,7.29,12,3,1
389,7.32,12,11,1
390,7.33,13,6,1
391,7.37,12,26,1
392,7.37,12,19,1
393,7.37,12,36,0
394,7.37,16,18,1
395,7.37,14,11,1
396,7.37,12,24,1
397,7.37,12,24,1
398,7.37,12,32,1
399,7.37,9,13,1
400,7.37,12,45,1
401,7.37,12,4,1
402,7.37,16,5,1
403,7.37,12,3,1
404,7.37,12,39,1
405,7.37,16,11,0
406,7.37,12,25,1
407,7.37,16,1,1
408,7.37,12,12,1
409,7.37,12,15,1
410,7.37,12,14,0
411,7.37,12,11,1
412,7.37,12,4,1
413,7.37,12,10,1
414,7.42,16,8,1
415,7.51,16,24,1
416,7.51,13,8,1
417,7.51,12,45,1
418,7.54,13,22,1
419,7.54,12,20,1
420,7.55,16,7,1
421,7.55,12,27,1
422,7.55,16,12,1
423,7.55,12,35,1
424,7.59,12,41,1
425,7.64,16,8,0
426,7.65,12,20,1
427,7.65,12,13,1
428,7.66,12,14,1
429,7.66,13,41,1
430,7.68,16,9,1
431,7.73,12,22,1
432,7.74,16,7,1
433,7.74,10,12,0
434,7.76,13,22,1
435,7.78,16,14,1
436,7.79,16,13,1
437,7.79,12,37,1
438,7.79,16,11,0
439,7.81,13,9,1
440,7.81,12,14,0
441,7.83,13,16,1
442,7.83,14,10,0
443,7.83,14,25,1
444,7.86,13,5,1
445,7.87,12,16,1
446,7.88,12,14,1
447,7.9,18,26,1
448,7.92,12,21,1
449,7.93,13,9,1
450,7.94,13,27,0
451,7.96,13,15,1
452,7.99,16,14,0
453,8.04,16,2,1
454,8.07,13,29,1
455,8.1,13,39,1
456,8.1,13,40,1
457,8.1,16,13,1
458,8.1,14,24,1
459,8.1,13,6,1
460,8.1,12,27,1
461,8.1,12,12,1
462,8.1,12,13,1
463,8.1,4,36,1
464,8.19,13,14,1
465,8.2,14,24,1
466,8.29,12,2,1
467,8.29,12,25,1
468,8.29,13,39,1
469,8.29,16,12,1
470,8.29,12,10,1
471,8.29,12,43,0
472,8.29,12,23,0
473,8.29,12,10,1
474,8.34,12,17,1
475,8.36,16,32,1
476,8.37,12,27,1
477,8.4,14,19,0
478,8.41,16,5,1
479,8.45,13,23,1
480,8.47,12,40,1
481,8.49,13,6,1
482,8.49,12,9,0
483,8.49,12,32,1
484,8.49,12,26,1
485,8.49,16,0,1
486,8.49,16,19,0
487,8.49,13,6,0
488,8.55,18,21,0
489,8.56,14,3,1
490,8.64,12,15,1
491,8.66,12,9,1
492,8.66,12,19,1
493,8.66,14,14,1
494,8.68,12,19,1
495,8.69,13,4,1
496,8.74,12,26,1
497,8.77,14,26,0
498,8.81,12,26,0
499,8.84,16,3,0
500,8.84,11,12,1
501,8.84,12,18,1
502,8.84,12,21,1
503,8.84,12,15,1
504,8.84,11,17,1
505,8.84,12,28,1
506,8.84,12,28,1
507,8.84,16,27,1
508,8.84,14,22,1
509,8.84,12,37,1
510,8.84,12,20,1
511,8.84,14,2,1
512,8.84,13,38,1
513,8.84,12,37,1
514,8.84,13,36,1
515,8.84,12,39,1
516,8.84,13,1,1
517,8.88,12,10,1
518,8.91,12,33,0
519,9.0,12,15,1
520,9.0,18,4,1
521,9.01,12,29,1
522,9.03,13,29,1
523,9.06,14,21,0
524,9.14,14,18,1
525,9.14,16,16,1
526,9.17,12,27,1
527,9.21,12,29,1
528,9.21,12,24,0
529,9.21,10,45,1
530,9.21,9,40,0
531,9.21,13,16,1
532,9.21,13,10,1
533,9.21,13,23,0
534,9.21,12,14,0
535,9.21,12,13,1
536,9.21,9,33,1
537,9.21,16,13,1
538,9.3,12,17,1
539,9.3,12,16,0
540,9.31,12,44,1
541,9.34,18,26,0
542,9.37,12,14,1
543,9.39,12,9,0
544,9.42,10,40,0
545,9.43,12,23,0
546,9.43,12,3,1
547,9.44,16,5,1
548,9.44,13,17,0
549,9.45,12,34,1
550,9.5,12,25,1
551,9.56,12,18,1
552,9.56,13,21,1
553,9.56,12,32,1
554,9.58,10,37,0
555,9.58,13,10,1
556,9.58,9,3,1
557,9.58,12,21,1
558,9.58,16,17,1
559,9.58,18,5,1
560,9.58,14,19,1
561,9.58,12,7,1
562,9.58,13,13,1
563,9.58,13,12,1
564,9.58,12,31,0
565,9.58,16,39,1
566,9.67,16,16,1
567,9.72,16,14,1
568,9.75,12,20,0
569,9.76,12,15,1
570,9.78,16,8,1
571,9.8,13,20,1
572,9.82,16,10,0
573,9.91,12,23,1
574,9.91,12,44,0
575,9.91,13,9,1
576,9.91,13,6,1
577,9.92,16,5,0
578,9.95,12,26,1
579,9.95,13,6,1
580,9.95,12,30,1
581,10.04,12,13,0
582,10.13,12,15,1
583,10.13,13,35,1
584,10.13,16,6,1
585,10.13,12,26,0
586,10.13,16,13,0
587,10.13,13,21,1
588,10.13,14,9,1
589,10.18,12,20,0
590,10.19,13,11,1
591,10.2,13,23,1
592,10.26,13,45,1
593,10.3,13,28,1
594,10.31,13,15,1
595,10.31,12,14,1
596,10.31,13,27,0
597,10.31,13,3,1
598,10.31,14,12,0
599,10.31,12,24,1
600,10.31,12,12,1
601,10.31,12,18,1
602,10.31,14,31,1
603,10.39,16,28,0
604,10.42,16,19,1
605,10.44,12,27,0
606,10.46,12,31,1
607,10.52,14,13,1
608,10.52,14,24,1
609,10.56,14,20,1
610,10.57,12,10,1
611,10.61,13,16,0
612,10.61,13,7,1
613,10.61,12,18,1
614,10.61,12,26,1
615,10.61,16,30,1
616,10.61,12,25,1
617,10.61,18,35,0
618,10.62,13,7,1
619,10.64,12,27,1
620,10.68,13,16,0
621,10.7,13,27,1
622,10.74,13,25,1
623,10.76,18,8,0
624,10.77,18,16,1
625,10.81,13,16,1
626,10.87,13,23,1
627,10.88,13,18,0
628,10.89,16,22,0
629,10.98,16,13,1
630,11.05,11,24,1
631,11.05,13,18,0
632,11.05,6,19,1
633,11.05,9,35,1
634,11.05,11,6,1
635,11.05,12,37,1
636,11.05,16,10,1
637,11.05,13,32,1
638,11.05,13,6,1
639,11.05,12,24,1
640,11.05,12,26,1
641,11.05,12,18,1
642,11.05,14,33,1
643,11.05,12,30,1
644,11.05,16,10,1
645,11.05,16,7,1
646,11.05,12,4,1
647,11.05,16,7,1
648,11.05,12,28,1
649,11.05,14,31,0
650,11.05,12,38,1
651,11.05,12,22,1
652,11.12,16,24,1
653,11.12,13,10,1
654,11.17,16,10,1
655,11.22,12,16,1
656,11.29,16,1,0
657,11.32,12,17,1
658,11.33,12,5,1
659,11.33,13,1,1
660,11.33,12,11,1
661,11.33,12,20,1
662,11.35,13,28,0
663,11.36,13,29,1
664,11.36,13,19,1
665,11.44,13,10,1
666,11.51,13,16,1
667,11.57,12,22,1
668,11.59,13,16,1
669,11.59,16,7,1
670,11.59,12,27,1
671,11.6,13,36,1
672,11.61,12,31,0
673,11.64,14,18,1
674,11.68,16,2,1
675,11.68,16,3,1
676,11.68,16,19,1
677,11.73,12,35,1
678,11.73,12,20,0
679,11.75,14,16,0
680,11.79,13,10,1
681,11.79,16,27,1
682,11.79,13,17,0
683,11.79,18,5,1
684,11.79,16,2,1
685,11.79,14,7,0
686,11.8,16,22,1
687,11.8,12,42,0
688,11.81,12,14,1
689,11.86,16,5,1
690,11.86,12,20,1
691,11.87,12,35,0
692,11.9,13,18,1
693,11.91,13,15,0
694,11.97,16,9,1
695,11.97,13,16,1
696,11.97,11,26,0
697,12.0,18,21,1
698,12.02,18,8,1
699,12.03,16,1,1
700,12.03,12,17,1
701,12.03,16,14,1
702,12.03,16,9,1
703,12.05,6,30,1
704,12.12,16,35,0
705,12.16,12,25,1
706,12.17,16,4,1
707,12.22,16,30,0
708,12.23,12,36,1
709,12.23,6,40,1
710,12.25,14,26,1
711,12.28,13,28,1
712,12.28,13,33,0
713,12.34,13,20,0
714,12.36,16,22,1
715,12.38,16,15,1
716,12.4,16,14,1
717,12.4,18,12,1
718,12.4,13,5,1
719,12.4,18,26,1
720,12.4,16,16,1
721,12.4,18,24,1
722,12.4,13,34,1
723,12.4,12,25,0
724,12.4,18,26,1
725,12.4,12,31,1
726,12.44,12,13,1
727,12.52,16,10,1
728,12.52,13,19,0
729,12.52,12,10,1
730,12.52,14,23,0
731,12.52,12,16,1
732,12.52,12,29,1
733,12.59,16,8,1
734,12.63,14,11,1
735,12.64,12,44,1
736,12.71,13,30,1
737,12.75,16,5,1
738,12.75,13,36,1
739,12.75,16,9,1
740,12.75,14,29,1
741,12.75,16,6,0
742,12.75,16,35,0
743,12.75,18,35,0
744,12.75,13,22,1
745,12.75,18,20,0
746,12.75,18,21,1
747,12.75,13,8,0
748,12.87,18,25,1
749,12.88,13,29,1
750,12.89,12,26,1
751,12.89,8,35,0
752,12.89,16,2,0
753,12.89,16,0,1
754,12.91,18,26,1
755,12.96,12,27,1
756,12.97,13,10,1
757,13.07,18,8,1
758,13.08,14,33,1
759,13.08,16,21,1
760,13.1,12,24,0
761,13.1,16,5,1
762,13.1,18,10,0
763,13.11,12,43,1
764,13.13,13,29,1
765,13.15,13,19,1
766,13.17,13,18,1
767,13.21,16,24,1
768,13.26,16,31,1
769,13.26,12,11,1
770,13.29,16,12,1
771,13.3,13,22,0
772,13.32,12,5,1
773,13.33,12,36,1
774,13.45,13,26,1
775,13.45,16,6,1
776,13.45,16,20,1
777,13.46,18,19,1
778,13.57,18,5,1
779,13.59,12,38,1
780,13.6,18,21,1
781,13.61,12,25,1
782,13.68,12,12,1
783,13.81,16,18,1
784,13.83,14,17,1
785,13.91,12,19,1
786,14.11,13,29,1
787,14.16,16,9,1
788,14.16,18,7,1
789,14.16,13,21,1
790,14.16,14,20,0
791,14.16,12,21,1
792,14.16,16,8,1
793,14.16,16,12,1
794,14.16,16,4,1
795,14.16,13,14,1
796,14.16,12,32,1
797,14.16,18,27,1
798,14.16,16,8,1
799,14.16,12,23,1
800,14.17,16,26,1
801,14.17,16,25,1
802,14.18,12,15,1
803,14.19,18,23,1
804,14.27,13,28,1
805,14.37,12,32,1
806,14.51,8,28,1
807,14.51,16,18,1
808,14.52,13,16,1
809,14.73,13,12,1
810,14.73,12,42,0
811,14.73,13,35,1
812,14.73,13,35,1
813,14.73,12,23,1
814,14.73,14,14,1
815,14.73,13,20,1
816,14.73,16,24,1
817,14.73,16,41,0
818,14.73,18,16,1
819,14.78,16,28,1
820,14.78,13,24,0
821,14.81,14,23,1
822,14.86,12,33,1
823,14.86,18,16,1
824,14.86,18,26,1
825,14.86,13,22,1
826,14.86,18,23,1
827,15.1,13,14,1
828,15.21,18,7,1
829,15.35,18,20,1
830,15.35,13,24,1
831,15.35,12,42,1
832,15.47,13,35,0
833,15.47,16,11,1
834,15.55,13,18,1
835,15.55,16,12,1
836,15.57,12,16,1
837,15.57,16,31,1
838,15.57,16,3,1
839,15.58,13,17,1
840,15.66,12,21,1
841,15.66,6,52,1
842,15.69,16,21,0
843,15.82,16,32,1
844,15.85,16,13,1
845,15.86,13,23,1
846,15.91,12,12,1
847,15.91,16,23,1
848,15.93,16,10,1
849,15.93,12,39,1
850,15.93,11,19,1
851,15.93,16,8,1
852,15.93,13,30,1
853,15.93,16,10,1
854,15.93,18,2,1
855,15.93,16,16,0
856,15.93,18,36,1
857,16.1,12,24,1
858,16.120001,18,3,1
859,16.129999,12,41,1
860,16.129999,14,20,0
861,16.17,12,41,1
862,16.209999,12,29,0
863,16.280001,18,26,0
864,16.280001,18,33,1
865,16.360001,18,13,1
866,16.370001,12,22,0
867,16.58,18,14,1
868,16.58,14,38,1
869,16.58,12,16,1
870,16.620001,16,15,1
871,16.68,16,7,1
872,16.940001,12,19,1
873,16.940001,13,29,0
874,16.99,18,12,1
875,16.99,9,34,1
876,17.0,16,22,1
877,17.0,13,23,1
878,17.0,16,9,1
879,17.040001,16,8,1
880,17.049999,12,37,1
881,17.200001,12,14,1
882,17.25,14,33,1
883,17.530001,18,22,1
884,17.540001,16,18,1
885,17.68,13,12,1
886,17.68,16,14,1
887,17.700001,12,9,1
888,17.700001,12,24,1
889,17.700001,14,30,1
890,17.700001,18,23,1
891,17.700001,18,13,1
892,17.700001,12,27,1
893,17.700001,18,5,1
894,17.76,16,18,1
895,17.83,13,25,1
896,17.85,16,9,1
897,18.120001,14,12,0
898,18.17,16,9,0
899,18.17,18,23,1
900,18.23,16,23,1
901,18.27,18,1,1
902,18.33,12,40,0
903,18.389999,12,13,1
904,18.42,18,26,1
905,18.42,13,22,1
906,18.42,16,12,1
907,18.42,12,19,1
908,18.42,16,5,1
909,18.42,16,28,1
910,18.42,12,23,1
911,18.42,14,43,1
912,18.42,16,7,1
913,18.42,18,26,1
914,18.440001,16,24,1
915,18.67,16,12,1
916,18.879999,18,6,1
917,18.879999,16,18,1
918,19.120001,13,25,1
919,19.120001,18,12,1
920,19.120001,12,24,1
921,19.16,12,22,1
922,19.32,18,22,1
923,19.34,14,26,1
924,19.469999,13,21,1
925,19.83,18,11,1
926,19.83,18,11,1
927,19.83,16,26,1
928,19.860001,16,14,1
929,20.02,18,16,1
930,20.23,16,13,1
931,20.24,18,28,1
932,20.26,18,19,1
933,20.459999,12,37,1
934,20.49,18,34,1
935,20.540001,16,26,1
936,20.93,18,17,1
937,21.07,13,23,1
938,21.24,14,35,1
939,21.25,12,27,1
940,21.25,12,27,1
941,21.25,16,9,0
942,21.450001,13,31,1
943,22.030001,12,20,1
944,22.1,16,21,0
945,22.139999,16,22,1
946,22.379999,16,26,1
947,22.58,16,21,1
948,22.66,16,18,1
949,22.66,18,18,1
950,22.950001,18,27,1
951,22.950001,16,20,1
952,23.02,16,29,1
953,23.02,18,18,1
954,23.23,13,12,1
955,23.58,14,15,1
956,23.58,12,33,1
957,23.610001,18,20,1
958,23.610001,16,8,1
959,23.610001,18,28,1
960,23.610001,13,29,1
961,23.610001,16,31,1
962,23.719999,16,32,1
963,23.719999,16,10,1
964,24.790001,12,27,1
965,24.790001,16,8,1
966,24.790001,12,17,1
967,25.26,16,30,1
968,25.42,18,34,0
969,25.49,18,25,1
970,25.530001,18,28,1
971,25.76,18,14,1
972,25.76,16,26,1
973,25.790001,18,23,1
974,26.440001,18,34,1
975,26.98,12,45,0
976,27.26,16,3,0
977,28.0,13,15,1
978,28.040001,16,15,1
979,28.32,13,24,1
980,28.33,18,13,1
981,28.33,18,12,1
982,28.33,12,34,1
983,28.33,18,16,1
984,28.33,18,11,1
985,28.33,16,18,1
986,29.52,16,41,1
987,31.48,13,34,1
988,32.689999,16,20,1
989,34.0,18,26,1
990,35.419998,16,16,1
991,35.419998,14,22,1
992,35.419998,18,21,1
993,35.419998,18,23,1
994,36.84,16,7,1
995,41.32,16,11,1
996,47.220001,18,35,1
997,60.189999,16,33,1
